slot,verdict_model,verdict_labels,verdicts_agree,play_ratio_model,play_ratio_labels,empty_ratio_model,empty_ratio_labels,minutes_model,minutes_labels,minutes_compared,minutes_agreeing,minute_agreement,minutes_ambiguous
venue_01_2026-07-11_1000,NOTUSED,NOTUSED,1,0.0175,0.0169,0.9474,0.9322,57,59,53,53,1.0000,4
venue_01_2026-07-12_2030,USED,USED,1,1.0000,1.0000,0.0000,0.0000,59,60,53,53,1.0000,6
