file,venue,class3,inside
2_playing/clip_ca_1788518312798_t001233.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,10
2_playing/clip_ca_1788518312798_t003266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518312798_t005266.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518312798_t007300.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518312798_t009300.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518312798_t011333.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518318235_t001366.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,9
2_playing/clip_ca_1788518318235_t003566.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518318235_t005766.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518318235_t007966.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,7
2_playing/clip_ca_1788518318235_t010166.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,5
2_playing/clip_ca_1788518318235_t012366.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,6
2_playing/clip_ca_1788518324229_t001300.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,10
2_playing/clip_ca_1788518324229_t003400.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518324229_t005500.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,7
2_playing/clip_ca_1788518324229_t007566.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,8
2_playing/clip_ca_1788518324229_t009666.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,7
2_playing/clip_ca_1788518324229_t011766.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,7
2_playing/clip_ca_1788518332036_t001300.jpg,clipvenue_a_blue_barrier,C2_ACTIVE_PLAY,10
