question,view,other,dist,note
grouping,cd_1788518082821,,,venue=clipvenue_d_indoor_dome cluster=1
grouping,cd_1788518094123,,,venue=clipvenue_d_indoor_dome cluster=1
grouping,cd_1788518102618,,,venue=clipvenue_d_indoor_dome cluster=1
grouping,ce_1788518718116,,,venue=clipvenue_e_pink_boards cluster=10
grouping,ce_1788518723558,,,venue=clipvenue_e_pink_boards cluster=10
grouping,ce_1788518730311,,,venue=clipvenue_e_pink_boards cluster=10
grouping,cf_1788517934401,,,venue=clipvenue_f_outdoor_bldg cluster=1
grouping,cf_1788518024202,,,venue=clipvenue_f_outdoor_bldg cluster=1
grouping,cg_1788518055948,,,venue=clipvenue_g_netting cluster=4
grouping,cg_1788518136880,,,venue=clipvenue_g_netting cluster=4
grouping,cg_1788518144607,,,venue=clipvenue_g_netting cluster=4
grouping,cg_1788518149492,,,venue=clipvenue_g_netting cluster=4
grouping,cg_1788518155619,,,venue=clipvenue_g_netting cluster=12
grouping,ch_1788518036387,,,venue=clipvenue_h_teal_pitch cluster=8
grouping,ch_1788518070457,,,venue=clipvenue_h_teal_pitch cluster=8
grouping,ch_1788518162577,,,venue=clipvenue_h_teal_pitch cluster=8
grouping,ci_1788517881838,,,venue=clipvenue_i_outdoor_trees cluster=8
grouping,ci_1788517913957,,,venue=clipvenue_i_outdoor_trees cluster=8
grouping,ci_1788518712737,,,venue=clipvenue_i_outdoor_trees cluster=7
grouping,slot_20260711_1000_camA,,,venue=venue_01 cluster=6
grouping,slot_20260711_1000_camB,,,venue=venue_01 cluster=2
grouping,slot_20260712_2030_camA,,,venue=venue_01 cluster=2
grouping,slot_20260712_2030_camB,,,venue=venue_01 cluster=6
grouping_curve,,,0.05,clusters=31; mixed=0; homogeneity=1.000; ari=0.276
grouping_curve,,,0.06,clusters=30; mixed=0; homogeneity=1.000; ari=0.284
grouping_curve,,,0.07,clusters=29; mixed=0; homogeneity=1.000; ari=0.324
grouping_curve,,,0.08,clusters=28; mixed=0; homogeneity=1.000; ari=0.326
grouping_curve,,,0.09,clusters=26; mixed=0; homogeneity=1.000; ari=0.339
grouping_curve,,,0.1,clusters=25; mixed=0; homogeneity=1.000; ari=0.343
grouping_curve,,,0.11,clusters=25; mixed=0; homogeneity=1.000; ari=0.343
grouping_curve,,,0.12,clusters=23; mixed=0; homogeneity=1.000; ari=0.351
grouping_curve,,,0.13,clusters=22; mixed=0; homogeneity=1.000; ari=0.443
grouping_curve,,,0.14,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.15,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.16,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.17,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.18,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.19,clusters=21; mixed=0; homogeneity=1.000; ari=0.447
grouping_curve,,,0.2,clusters=20; mixed=0; homogeneity=1.000; ari=0.454
grouping_curve,,,0.21,clusters=20; mixed=0; homogeneity=1.000; ari=0.454
grouping_curve,,,0.22,clusters=20; mixed=0; homogeneity=1.000; ari=0.454
grouping_curve,,,0.23,clusters=20; mixed=0; homogeneity=1.000; ari=0.454
grouping_curve,,,0.24,clusters=19; mixed=1; homogeneity=0.974; ari=0.447
grouping_curve,,,0.25,clusters=19; mixed=1; homogeneity=0.974; ari=0.447
grouping_curve,,,0.26,clusters=18; mixed=2; homogeneity=0.949; ari=0.441
grouping_curve,,,0.27,clusters=18; mixed=2; homogeneity=0.949; ari=0.441
grouping_curve,,,0.28,clusters=17; mixed=2; homogeneity=0.949; ari=0.443
grouping_curve,,,0.29,clusters=16; mixed=3; homogeneity=0.881; ari=0.398
grouping_curve,,,0.3,clusters=15; mixed=3; homogeneity=0.881; ari=0.456
grouping_curve,,,0.31,clusters=14; mixed=3; homogeneity=0.881; ari=0.463
grouping_curve,,,0.32,clusters=12; mixed=4; homogeneity=0.862; ari=0.714
grouping_curve,,,0.33,clusters=11; mixed=5; homogeneity=0.822; ari=0.697
grouping_curve,,,0.34,clusters=10; mixed=4; homogeneity=0.741; ari=0.629
grouping_curve,,,0.35,clusters=9; mixed=5; homogeneity=0.727; ari=0.627
grouping_curve,,,0.36,clusters=9; mixed=5; homogeneity=0.727; ari=0.627
grouping_curve,,,0.37,clusters=9; mixed=5; homogeneity=0.727; ari=0.627
grouping_curve,,,0.38,clusters=9; mixed=5; homogeneity=0.727; ari=0.627
grouping_curve,,,0.39,clusters=7; mixed=5; homogeneity=0.671; ari=0.609
grouping_curve,,,0.4,clusters=7; mixed=5; homogeneity=0.671; ari=0.609
grouping_curve,,,0.41,clusters=7; mixed=5; homogeneity=0.671; ari=0.609
grouping_curve,,,0.42,clusters=5; mixed=4; homogeneity=0.564; ari=0.617
grouping_curve,,,0.43,clusters=4; mixed=3; homogeneity=0.524; ari=0.605
grouping_curve,,,0.44,clusters=4; mixed=3; homogeneity=0.524; ari=0.605
grouping_curve,,,0.45,clusters=4; mixed=3; homogeneity=0.524; ari=0.605
grouping_curve,,,0.46,clusters=4; mixed=3; homogeneity=0.524; ari=0.605
grouping_curve,,,0.47,clusters=3; mixed=2; homogeneity=0.234; ari=0.176
grouping_curve,,,0.48,clusters=3; mixed=2; homogeneity=0.234; ari=0.176
grouping_curve,,,0.49,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.5,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.51,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.52,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.53,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.54,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.55,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.56,clusters=2; mixed=2; homogeneity=0.141; ari=0.107
grouping_curve,,,0.57,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.58,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.59,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.6,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.61,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.62,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.63,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_curve,,,0.64,clusters=1; mixed=1; homogeneity=0.000; ari=0.000
grouping_summary,,,0.32,best_ari=0.714; AUC=0.8798; overlaps=True; clusters=12; hand_venues=10; mixed=4; coarsest_pure_threshold=0.23
