preset,n_seeds,seeds,macro_f1_mean,macro_f1_sd,macro_f1_min,macro_f1_max,empty_recall_mean,empty_recall_min,empty_recall_max
none,1,42,0.3625,,0.3625,0.3625,0.0000,0.0000,0.0000
colour,2,42 7,0.3479,0.0000,0.3479,0.3479,0.0000,0.0000,0.0000
light,5,123 13 42 7 99,0.4635,0.2206,0.3479,0.8550,0.1498,0.0000,0.6872
weather,1,42,0.4486,,0.4486,0.4486,0.0988,0.0988,0.0988
full,1,42,0.3479,,0.3479,0.3479,0.0000,0.0000,0.0000
